;"Oso ona
Muy buena";"Oso ona
Muy buena";"Ona
Buena";"Ona
Buena";"Halamoduzkoa
Regular";"Halamoduzkoa
Regular";"Txarra
Mala";"Txarra
Mala";"Oso txarra
Muy mala";"Oso txarra
Muy mala"
"Urtea
Año";"Egunak
Días";"Ehunekoa
Porcentaje";"Egunak
Días";"Ehunekoa
Porcentaje";"Egunak
Días";"Ehunekoa
Porcentaje";"Egunak
Días";"Ehunekoa
Porcentaje";"Egunak
Días";"Ehunekoa
Porcentaje"
1998;52;14;214;59;72;20;19;5;7;1
1999;74;20;202;55,5;72;20;14;4;2;0,5
2000;57;16;211;58;78;21;16;4;4;1
2001;55;15;194;53;87;24;28;8;2;2
2002;71;19,5;190;52;84;23;18;5;2;0,5
2003;49;13,4;222;60,8;92;25,2;2;0,5;0;0
2004;73;19,9;215;59,8;74;20,2;0;0;0;0
2005;81;22,2;222;60,8;58;15,9;1;0,3;3;0,8
2006;47;12,9;219;60;91;24,9;7;1,9;1;0,3
2007;48;13,3;248;67,9;65;17,8;4;1,1;0;0
2008;53;14,5;234;63,3;81;22,2;0;0;0;0
2009;49;13,4;223;61,1;93;25,5;0;0;0;0
2010;36;9,9;211;57,8;115;31,5;3;0,8;0;0
2011;29;7,9;191;52,3;141;38,6;4;1,1;0;0
2012;sin datos;sin datos;sin datos;sin datos;sin datos;sin datos;sin datos;sin datos;sin datos;sin datos
2013;sin datos;sin datos;sin datos;sin datos;sin datos;sin datos;sin datos;sin datos;sin datos;sin datos
2014;20;5,5;235;64,4;110;30,1;0;0;0;0
2015;29;7,7;223;60,3;111;31,5;2;0,5;0;0
2016;64;15,3;219;61,9;82;22,5;1;0,3;0;0
2017;46;12,3;232;63,8;87;23,8;0;0;0;0
2018;47;12,3;210;58,1;108;29,6;0;0;0;0
